,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
0,1,333500,2.0,100.0,1,0,0,29.289579041728047,0,0,0.0,0,318.3056755991269,0,0,0,0,0,1,0
1,1,379000,1.0,80.0,1,0,0,25.0,1,0,0.0,0,254.64454047930155,0,0,0,0,0,1,0
2,1,295000,2.0,80.0,1,0,0,28.0,0,1,4.0,0,254.64454047930155,0,0,0,0,0,1,0
3,1,595000,2.0,207.0,2,0,0,60.62942861637706,1,1,10.0,0,658.8927484901927,0,0,0,0,0,0,0
4,1,615000,2.0,170.0,1,0,0,49.79228437093768,0,1,40.0,0,541.1196485185158,0,0,0,0,0,0,0
5,1,615000,1.0,170.0,1,0,0,49.79228437093768,0,1,40.0,0,541.1196485185158,0,0,0,0,0,0,0
6,1,515000,3.0,130.0,2,0,0,38.07645275424646,0,1,15.0,0,413.797378278865,0,0,0,0,0,1,0
7,1,550000,3.0,130.0,2,0,0,38.07645275424646,0,1,14.0,0,413.797378278865,0,0,0,0,0,1,0
8,1,355000,1.0,82.0,1,0,0,24.017454814217,0,1,5.0,0,261.0106539912841,1,0,0,0,0,1,0
9,1,375000,1.0,73.0,1,0,0,21.381392700461475,0,1,26.0,0,232.36314318736265,1,0,0,0,0,1,0
10,1,395000,2.0,107.0,2,0,0,31.33984957464901,0,0,0.0,0,340.5870728910658,1,0,0,0,0,1,0
11,1,455000,2.0,107.0,1,0,0,31.33984957464901,0,1,12.0,0,340.5870728910658,1,0,0,0,0,1,0
12,1,470000,2.0,105.0,1,0,0,30.75405799381445,0,1,20.0,0,334.2209593790833,1,0,0,0,0,1,0
13,1,229000,2.0,80.0,1,0,0,26.0,1,1,3.0,0,254.64454047930155,0,0,0,0,0,1,0
14,1,199000,1.0,56.0,1,0,0,25.0,1,0,0.0,0,178.25117833551107,0,0,0,0,0,1,0
15,1,749000,2.0,150.0,1,0,0,43.93436856259207,1,1,4.0,0,477.4585133986904,0,0,0,0,0,1,0
16,1,439000,4.0,205.0,2,0,0,60.043637035542496,0,0,0.0,0,652.5266349782102,0,0,0,0,0,0,0
17,1,348000,2.0,173.0,1,0,0,50.67097174218952,0,0,0.0,0,550.6688187864896,0,0,0,0,1,0,0
18,1,310000,1.0,95.0,1,0,0,65.0,0,0,0.0,0,302.3903918191706,0,0,0,0,0,1,0
19,1,165000,1.0,36.0,1,0,0,10.544248455022098,0,0,0.0,0,114.5900432156857,0,0,0,0,0,0,0
20,1,399000,2.0,96.0,1,0,0,40.0,1,1,9.0,0,305.5734485751618,0,0,0,0,0,1,0
21,1,140000,1.0,45.0,1,0,0,19.0,0,0,0.0,0,143.2375540196071,0,0,0,0,0,1,0
22,1,560000,1.0,177.0,1,0,0,60.0,0,1,25.0,1,125.0,0,0,0,0,0,0,0
23,1,295000,3.0,110.0,1,0,0,35.0,0,1,7.0,0,350.1362431590396,0,0,0,0,0,1,0
24,1,289000,2.0,90.0,1,0,0,27.0,1,0,0.0,0,286.4751080392142,0,0,0,0,0,1,0
