,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Number of toilets,Balcony,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Elevator,Number of showers,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,Kitchen equipment_Partially equipped,Kitchen equipment_Super equipped,State of the property_Excellent,State of the property_Fully renovated,State of the property_New,State of the property_Normal,State of the property_To be renovated,Type of property_flat,Type of property_house,Subtype of property_apartment,Subtype of property_bungalow,Subtype of property_chalet,Subtype of property_cottage,Subtype of property_duplex,Subtype of property_ground-floor,Subtype of property_loft,Subtype of property_master-house,Subtype of property_mixed-building,Subtype of property_penthouse,Subtype of property_residence,Subtype of property_studio,Subtype of property_triplex,Subtype of property_villa
0,Brussels,333500,2.0,100.0,1,1,0,13.568253840466747,0,29.289579041728047,0,10.894768364049597,0,1,2,0,0.0,10.983073043101928,0,0,1,0,318.3056755991269,8.9171609127769,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Brussels,379000,1.0,80.0,1,1,0,21.0,0,25.0,1,22.0,1,1,2,0,0.0,8.786458434481544,0,0,1,0,254.64454047930155,7.13372873022152,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brussels,295000,2.0,80.0,1,1,0,10.8546030723734,0,28.0,0,8.715814691239675,0,1,2,1,4.0,8.786458434481544,0,0,1,0,254.64454047930155,7.13372873022152,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brussels,595000,2.0,207.0,2,2,0,16.0,0,60.62942861637706,0,22.552170513582663,1,2,2,1,10.0,16.0,0,1,1,0,658.8927484901927,18.458523089448185,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Brussels,615000,2.0,170.0,1,2,0,23.066031528793477,0,49.79228437093768,0,18.521106218884317,0,1,3,1,40.0,18.67122417327328,0,0,1,0,541.1196485185158,15.15917355172073,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Brussels,615000,1.0,170.0,1,2,0,23.066031528793477,0,49.79228437093768,0,18.521106218884317,0,1,3,1,40.0,18.67122417327328,0,0,1,0,541.1196485185158,15.15917355172073,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Brussels,515000,3.0,130.0,2,1,0,17.638729992606773,0,38.07645275424646,0,14.163198873264474,0,1,2,1,15.0,14.277994956032508,0,0,1,0,413.797378278865,11.59230918660997,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brussels,550000,3.0,130.0,2,1,0,17.638729992606773,0,38.07645275424646,0,14.163198873264474,0,1,2,1,14.0,14.277994956032508,0,0,1,0,413.797378278865,11.59230918660997,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brussels,355000,1.0,82.0,1,1,0,11.125968149182734,0,24.017454814217,0,8.933710058520669,0,1,2,1,5.0,9.006119895343582,0,0,1,0,261.0106539912841,7.312071948477058,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brussels,375000,1.0,73.0,1,1,0,9.904825303540726,0,21.381392700461475,0,7.953180905756205,0,1,2,1,26.0,8.017643321464409,0,0,1,0,232.36314318736265,6.509527466327137,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brussels,395000,2.0,107.0,2,1,0,14.51803160929942,0,31.33984957464901,0,11.657402149533066,0,1,2,0,0.0,11.751888156119064,0,0,1,0,340.5870728910658,9.541362176671283,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brussels,455000,2.0,107.0,1,1,0,14.51803160929942,0,31.33984957464901,0,11.657402149533066,0,1,2,1,12.0,11.751888156119064,0,0,1,0,340.5870728910658,9.541362176671283,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brussels,470000,2.0,105.0,1,1,0,14.246666532490083,0,30.75405799381445,0,11.439506782252074,0,1,2,1,20.0,11.532226695257023,0,0,1,0,334.2209593790833,9.363018958415743,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Brussels,229000,2.0,80.0,1,1,0,13.0,0,26.0,0,13.0,1,1,2,1,3.0,9.0,0,1,1,0,254.64454047930155,7.13372873022152,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brussels,199000,1.0,56.0,1,1,0,14.0,0,25.0,1,6.101070283867774,1,1,2,0,0.0,6.15052090413708,0,1,1,0,178.25117833551107,4.993610111155064,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brussels,749000,2.0,150.0,1,2,0,22.0,0,43.93436856259207,0,16.34215254607439,1,1,2,1,4.0,11.0,0,0,1,0,477.4585133986904,13.37574136916535,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brussels,439000,4.0,205.0,2,2,0,27.814920372956838,0,60.043637035542496,0,22.33427514630167,0,1,2,0,0.0,22.515299738358955,0,0,1,0,652.5266349782102,18.280179871192644,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Brussels,348000,2.0,173.0,1,1,0,23.473079144007475,0,50.67097174218952,0,18.8479492698058,0,1,2,0,0.0,19.000716364566337,0,0,1,0,550.6688187864896,15.426688379104036,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Brussels,310000,1.0,95.0,1,2,0,18.0,0,65.0,0,10.350029945847115,0,2,2,0,0.0,10.433919390946834,0,0,1,0,302.3903918191706,8.471302867138055,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brussels,165000,1.0,36.0,1,1,0,4.88457138256803,0,10.544248455022098,0,3.922116611057854,0,1,2,0,0.0,3.953906295516695,0,0,1,0,114.5900432156857,3.210177928599684,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,Brussels,399000,2.0,96.0,1,1,0,17.0,0,40.0,1,10.0,1,1,4,1,9.0,10.0,1,1,1,0,305.5734485751618,8.560474476265824,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Brussels,140000,1.0,45.0,1,1,0,8.0,0,19.0,0,4.902645763822318,0,1,2,0,0.0,4.9423828693958685,0,0,1,0,143.2375540196071,4.012722410749605,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Brussels,560000,1.0,177.0,1,1,0,18.0,0,60.0,1,16.0,0,1,2,1,25.0,19.44003928629041,0,1,1,1,125.0,15.783374815615112,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Brussels,295000,3.0,110.0,1,2,0,22.0,0,35.0,0,11.984245200454554,0,1,2,1,7.0,15.0,0,0,1,0,350.1362431590396,11.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Brussels,289000,2.0,90.0,1,1,0,12.0,0,27.0,1,18.0,1,1,2,0,0.0,10.0,1,1,1,0,286.4751080392142,8.02544482149921,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brussels,389000,3.0,155.0,1,2,0,16.0,0,23.0,1,18.0,0,1,2,1,40.0,14.0,0,0,1,0,493.3737971786467,7.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Brussels,149900,1.0,32.0,1,1,0,4.34184122894936,0,9.372665293352975,0,3.4863258764958704,0,1,2,0,0.0,3.5145833737926173,0,0,1,0,101.85781619172062,2.853491492088608,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brussels,830000,3.0,216.0,2,1,0,30.0,0,63.26549073013258,1,14.0,1,1,2,1,45.0,16.0,0,0,0,0,687.5402592941142,10.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brussels,645000,2.0,180.0,2,1,0,15.0,0,52.72124227511048,1,19.610583055289272,1,1,2,1,25.0,12.0,1,0,1,0,572.9502160784284,16.05088964299842,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Brussels,430000,1.0,77.0,1,2,0,14.0,0,35.0,1,8.388971640318188,1,1,3,0,0.0,8.456966243188486,1,1,1,0,245.0953702113277,6.866213902838213,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brussels,279000,1.0,65.0,1,1,0,14.0,0,26.0,1,7.081599436632237,1,1,3,0,0.0,7.138997478016254,0,0,1,1,206.8986891394325,5.796154593304985,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Brussels,389000,2.0,100.0,1,2,0,13.568253840466747,0,29.289579041728047,0,10.894768364049597,0,1,2,1,25.0,10.983073043101928,0,0,1,0,318.3056755991269,8.9171609127769,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,Brussels,380000,2.0,80.0,1,1,0,12.0,0,29.0,1,7.0,0,1,2,0,0.0,13.0,0,0,1,0,254.64454047930155,7.13372873022152,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brussels,349000,1.0,126.0,1,2,0,17.0,0,44.0,0,10.0,0,1,2,1,5.0,13.83867203430843,0,0,1,0,401.0651512549,11.235622750098894,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Brussels,315000,3.0,100.0,1,2,0,13.0,0,19.0,0,10.894768364049597,0,1,2,0,0.0,16.0,0,0,1,0,318.3056755991269,12.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,Brussels,720000,2.0,190.0,1,2,0,16.0,0,74.0,1,24.0,1,1,2,0,0.0,11.0,1,0,1,0,604.7807836383412,16.94260573427611,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Brussels,640000,2.0,110.0,2,2,0,14.0,0,43.0,1,11.984245200454554,1,1,3,1,24.0,11.0,1,1,1,1,213.0,9.80887700405459,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,Brussels,199000,1.0,40.0,1,1,0,5.427301536186699,0,18.0,0,4.357907345619838,1,1,2,0,0.0,4.393229217240772,0,0,1,0,127.32227023965078,3.56686436511076,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Brussels,595000,2.0,109.0,1,2,0,15.0,0,41.0,1,11.875297516814058,1,1,3,1,13.0,12.0,1,1,1,0,346.95318640304833,9.71970539492682,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Brussels,785000,3.0,144.0,2,2,0,15.0,0,48.0,1,15.688466444231416,1,1,3,1,12.0,15.0,0,1,1,0,458.3601728627428,9.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Brussels,239000,2.0,68.0,1,1,0,9.22641261151739,1,32.0,0,7.4084424875537245,1,1,2,1,1.0,7.468489669309312,0,0,1,0,216.4478594074063,6.063669420688292,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Brussels,185000,1.0,39.0,1,1,0,5.291618997782032,1,23.0,0,4.248959661979342,1,1,3,1,3.0,4.2833984868097525,0,0,1,0,124.1392134836595,3.477692755982991,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Brussels,240000,1.0,62.0,1,1,0,8.412317381089384,0,18.15953900587139,0,6.754756385710749,1,1,2,1,7.0,6.809505286723196,0,0,1,0,197.34951887145868,5.528639765921678,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Brussels,220000,1.0,60.0,1,1,0,23.0,0,42.0,1,7.0,0,1,2,0,0.0,19.0,0,0,1,0,190.98340535947617,5.35029654766614,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Brussels,449000,2.0,250.0,1,2,0,30.0,0,38.0,0,15.0,0,1,3,1,16.0,14.0,0,0,1,0,795.7641889978173,22.29290228194225,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Brussels,299000,3.0,105.0,1,2,0,14.246666532490083,0,30.75405799381445,0,11.439506782252074,1,1,2,0,0.0,11.532226695257023,0,0,1,0,334.2209593790833,9.363018958415743,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Brussels,200000,1.0,45.0,1,1,0,6.1057142282100365,1,24.0,0,4.902645763822318,1,1,2,1,4.0,4.9423828693958685,0,0,1,0,143.2375540196071,4.012722410749605,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Brussels,399000,3.0,128.0,2,1,0,17.367364915797438,0,37.4906611734119,0,13.945303505983482,0,1,2,0,0.0,14.05833349517047,0,0,1,0,407.43126476688246,11.413965968354432,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Brussels,520000,2.0,149.0,2,2,0,20.216698222295456,1,43.6414727721748,1,16.233204862433897,1,2,2,1,12.0,16.364778834221873,0,0,1,0,474.2754566426991,13.28656976003758,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Brussels,495000,2.0,167.0,2,2,0,22.65898391357947,0,48.91359699968584,1,18.194263167962824,1,2,2,1,9.0,18.34173198198022,0,0,1,0,531.570478250542,14.891658724337423,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Brussels,165000,1.0,48.0,1,1,0,6.512761843424039,1,14.058997940029464,0,5.229488814743806,0,1,2,0,0.0,5.2718750606889255,0,0,1,0,152.7867242875809,4.280237238132912,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Brussels,595000,5.0,202.0,1,2,0,24.0,0,30.0,1,8.0,0,1,2,1,8.0,14.0,0,0,1,1,25.0,22.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,Brussels,395000,1.0,124.0,2,2,0,27.0,0,45.0,1,13.509512771421498,1,1,2,0,0.0,13.619010573446392,1,0,1,0,394.69903774291737,11.057279531843356,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Brussels,429000,3.0,110.0,1,2,0,16.0,0,34.0,1,11.0,1,1,2,1,5.0,21.0,1,1,1,0,350.1362431590396,9.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Brussels,375000,2.0,91.0,1,2,0,12.34711099482474,0,26.65351692797252,0,9.914239211285132,1,1,2,1,15.0,9.994596469222756,0,0,1,0,289.6581647952055,8.11461643062698,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Brussels,424000,3.0,125.0,1,1,0,16.960317300583437,0,34.0,0,13.618460455061994,1,1,2,1,9.0,13.728841303877411,0,0,1,0,397.8820944989087,11.146451140971124,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Brussels,265000,1.0,55.0,1,1,0,14.0,0,16.109268472950426,1,5.992122600227277,1,1,2,0,0.0,6.040690173706061,1,1,1,0,175.0681215795198,4.904438502027295,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Brussels,440000,2.0,92.0,1,1,0,14.0,0,30.0,1,8.0,1,1,2,0,0.0,10.0,0,0,1,0,292.8412215511968,8.203788039754748,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Brussels,390000,2.0,98.0,1,2,0,13.296888763657414,0,28.703787460893487,0,10.676872996768603,0,1,2,0,0.0,10.76341158223989,0,0,0,0,311.9395620871444,8.738817694521362,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,Brussels,425000,1.0,96.0,1,1,0,30.0,0,35.0,1,10.458977629487611,0,1,2,1,12.0,10.543750121377853,0,0,1,0,305.5734485751618,8.560474476265824,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,Brussels,850000,3.0,212.0,1,1,0,28.764698141789506,0,62.09390756846346,1,23.09690893178514,1,1,2,1,43.0,23.28411485137609,0,0,1,0,674.808032270149,18.90438113508703,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,Brussels,499000,2.0,115.0,1,1,0,13.0,0,33.683015897987254,0,12.528983618657035,0,1,2,1,30.0,11.0,0,0,1,0,366.051526938996,10.254735049693435,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Brussels,380000,4.0,115.0,2,1,0,15.60349191653676,0,33.683015897987254,0,12.528983618657035,0,1,2,0,0.0,12.630533999567218,0,0,0,0,366.051526938996,10.254735049693435,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,Brussels,500000,2.0,113.0,1,1,0,14.0,0,33.097224317152694,0,12.311088251376043,1,1,2,1,3.0,18.0,0,0,1,0,359.68541342701343,10.076391831437896,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
